,District,VDC/Municipality,Urban/Rural,Age,Gender,Marital Status,Caste/ethnicity,Occupation,What is the current status of your home?,1. Are your main reconstruction needs being addressed?,2. Do you have the information you need to access housing reconstruction support?,3. Have you consulted an engineer for your housing reconstruction needs?,5. Have you received any housing reconstruction support (this includes both financial and technical)?,6. Have you been able to commit your own resources?,7.  Are you aware how to build by using safer housing practices?,8. Do you face any barriers to receive support to reconstruct your house?,10. Are you satisfied with grant dispersal process?,"11. Besides building your home, what is the biggest community reconstruction need of your community?","12. Overall, is the post-earthquake reconstruction process making progress?",12. Are your family’s daily food need being met?,13. What is your primary source of income generation now?,14. How much of your own food do you grow?,15. Has damage from the earthquake impacted your livelihood?,16. Do you face any constraints to livelihood recovery?,17. What one skill would you like to develop in support of your livelihood?,18. Do you feel that your source of livelihood would survive another disaster?,19. Have any members of your family been required to migrate to support your family’s recovery?,HRRP_DNAME,HRRP_DCODE
0,Nuwakot,Chaturale VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Heavily damaged,Not very much,Not very much,Have Consulted,No,Not very much,Completely yes,Completely yes,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Rod/Steel,Not very much,No,Nuwakot,524 2 05 28
1,Nuwakot,Bidur Municipality,Urban,55+,Male,Married,Newar,Business,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Business,Little  bit,Somewhat yes,Not many,None,Completely yes,No,Nuwakot,524 2 05 28
2,Nuwakot,Bidur Municipality,Urban,40-54,Female,Married,Newar,Business,Heavily damaged,Not very much,Somewhat yes,Have not consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Completely yes,Not very much,Schools,Not very much,Not very much,Business,Little  bit,Somewhat yes,Not many,Computer training,Not very much,No,Nuwakot,524 2 05 28
3,Nuwakot,Bidur Municipality,Urban,15-24,Female,Never Married,Chhetri,Business,Minor damaged,,,,,,,,,Water supply,Somewhat yes,Completely yes,Business,Little  bit,Not very much,Not many,Handicraft production,Somewhat yes,No,Nuwakot,524 2 05 28
4,Nuwakot,Bidur Municipality,Urban,25-39,Female,Married,Newar,Business,Heavily damaged,Not very much,Not very much,Have not consulted,"Not yet, but expected",Not very much,Somewhat yes,Completely yes,Not very much,Religious/ Cultural Heritages,Not very much,Somewhat yes,Business,Little  bit,Somewhat yes,Not many,None,Not very much,No,Nuwakot,524 2 05 28
5,Nuwakot,Bidur Municipality,Urban,55+,Male,Married,Chhetri,Business,Heavily damaged,Somewhat yes,Completely yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Business,Little  bit,Somewhat yes,Not many,Other building skills,Somewhat yes,No,Nuwakot,524 2 05 28
6,Nuwakot,Bidur Municipality,Urban,40-54,Female,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Not very much,Somewhat yes,Plan to Consult,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Trails/lane,Somewhat yes,Completely yes,Tea shop/shop,Little  bit,Somewhat yes,Not many,Tailoring,Not very much, Yes,Nuwakot,524 2 05 28
7,Nuwakot,Bidur Municipality,Urban,40-54,Male,Married,Newar,"Skilled worker (i.e. carpenter, masons)",Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Masonry,Little  bit,Not very much,Not many,Tailoring,Not very much,No,Nuwakot,524 2 05 28
8,Nuwakot,Bidur Municipality,Urban,40-54,Male,Married,Chhetri,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Agriculture / livestock,Half,Somewhat yes,Not many,Entrepreneurship,Somewhat yes, Yes,Nuwakot,524 2 05 28
9,Nuwakot,Bidur Municipality,Urban,25-39,Female,Married,Other,Business,Heavily damaged,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Not very much,Others,Not very much,Somewhat yes,Business,None,Somewhat yes,Not many,None,Somewhat yes,No,Nuwakot,524 2 05 28
10,Nuwakot,Bidur Municipality,Urban,40-54,Male,Married,Newar,Agriculture,Minor damaged,Not at all,Somewhat yes,Have not consulted,"Not yet, do not expect to receive",Somewhat yes,Somewhat yes,Somewhat yes,Not at all,Trails/lane,Somewhat yes,Completely yes,Construction work,Little  bit,Not very much,Not at all,Other building skills,Not very much,No,Nuwakot,524 2 05 28
11,Nuwakot,Bidur Municipality,Urban,55+,Male,Married,Newar,Agriculture,Heavily damaged,Not very much,Somewhat yes,Plan to Consult,"Not yet, but expected",Not very much,Somewhat yes,Somewhat yes,Not very much,Schools,Not very much,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Masonry,Somewhat yes,No,Nuwakot,524 2 05 28
12,Nuwakot,Kalyanpur VDC,Rural,55+,Female,Married,Chhetri,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Water supply,Don’t Know/Refused,Completely yes,Agriculture / livestock,Most,Completely yes,Some concern,None,Somewhat yes,No,Nuwakot,524 2 05 28
13,Nuwakot,Bidur Municipality,Urban,25-39,Female,Never Married,Newar,Business,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Completely yes,Business,None,Not very much,Not many,Electricity,Somewhat yes,No,Nuwakot,524 2 05 28
14,Nuwakot,Kalyanpur VDC,Rural,40-54,Male,Married,Chhetri,Government job,Reconstruction completed,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not very much,Somewhat yes,Others,Somewhat yes,Completely yes,Government job,Half,Somewhat yes,Not many,Entrepreneurship,Somewhat yes,No,Nuwakot,524 2 05 28
15,Nuwakot,Bidur Municipality,Urban,40-54,Female,Married,Newar,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not many,Handicraft production,Somewhat yes,No,Nuwakot,524 2 05 28
